SUCLG1	gene_phenotype_1000000	"hpo"	"OMIM:245400"	HP:0012443	GeneToPhenotypicFeatureAssociation
NDUFB8	gene_phenotype_1000001	"hpo"	"OMIM:618252"	HP:0012443	GeneToPhenotypicFeatureAssociation
ATN1	gene_phenotype_1000002	"hpo"	"OMIM:618494"	HP:0012443	GeneToPhenotypicFeatureAssociation
NEUROD2	gene_phenotype_1000003	"hpo"	"OMIM:618374"	HP:0012443	GeneToPhenotypicFeatureAssociation
ATAD1	gene_phenotype_1000004	"hpo"	"OMIM:618011"	HP:0012443	GeneToPhenotypicFeatureAssociation
MTR	gene_phenotype_1000005	"hpo"	"OMIM:250940"	HP:0012443	GeneToPhenotypicFeatureAssociation
HSD17B10	gene_phenotype_1000006	"hpo"	"ORPHA:391428"	HP:0012443	GeneToPhenotypicFeatureAssociation
AP3D1	gene_phenotype_1000007	"hpo"	"OMIM:617050"	HP:0012443	GeneToPhenotypicFeatureAssociation
LHX1	gene_phenotype_1000008	"hpo"	"ORPHA:261265"	HP:0012443	GeneToPhenotypicFeatureAssociation
HNF1B	gene_phenotype_1000009	"hpo"	"ORPHA:261265"	HP:0012443	GeneToPhenotypicFeatureAssociation
CCDC47	gene_phenotype_1000010	"hpo"	"OMIM:618268"	HP:0012443	GeneToPhenotypicFeatureAssociation
GAD1	gene_phenotype_1000011	"hpo"	"OMIM:619124"	HP:0012443	GeneToPhenotypicFeatureAssociation
YIF1B	gene_phenotype_1000012	"hpo"	"OMIM:619125"	HP:0012443	GeneToPhenotypicFeatureAssociation
GM2A	gene_phenotype_1000013	"hpo"	"ORPHA:309246"	HP:0012443	GeneToPhenotypicFeatureAssociation
GM2A	gene_phenotype_1000014	"hpo"	"OMIM:272750"	HP:0012443	GeneToPhenotypicFeatureAssociation
ALG11	gene_phenotype_1000015	"hpo"	"ORPHA:280071"	HP:0012443	GeneToPhenotypicFeatureAssociation
RAB23	gene_phenotype_1000016	"hpo"	"OMIM:201000"	HP:0012443	GeneToPhenotypicFeatureAssociation
