HP:0025700	"Anhydramnios"	"9898"	"HP:0025700"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025705	"Abnormal fetal nasal bone visualization"	"1301"	"HP:0025705"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025706	"Absent fetal nasal bone"	"168667"	"HP:0025706"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025707	"Hypoplastic fetal nasal bone"	"1301"	"HP:0025707"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025708	"Early young adult onset"	"1832"	"HP:0025708"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025709	"Intermediate young adult onset"	"785"	"HP:0025709"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025710	"Late young adult onset"	"29967"	"HP:0025710"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025711	"Convergence-retraction nystagmus"	"120"	"HP:0025711"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025712	"Spontaneous chorioamniotic separation"	"10269"	"HP:0025712"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025717	"Skeletal muscle autophagosome accumulation"	"3920"	"HP:0025717"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025721	"Limited vertical extraocular movement"	"84570"	"HP:0025721"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025722	"Cerebral infarct"	"5286"	"HP:0025722"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025723	"Abnormal fetal skin morphology"	"117581"	"HP:0025723"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025724	"Caseous vernix-like desquamation"	"10999"	"HP:0025724"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025732	"Abnormal social development"	"23389"	"HP:0025732"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025734	"Elevated urinary 5-hydroxyhexanoic acid level"	"2109"	"HP:0025734"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025736	"Long-bone fracture"	"55503"	"HP:0025736"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025742	"Elevated urine L-xylulose level"	"51181"	"HP:0025742"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025745	"Abnormal urine amino acid level"	"3242"	"HP:0025745"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025747	"Tongue spasticity"	"57679"	"HP:0025747"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025756	"Abnormal nail attachment"	"3229"	"HP:0025756"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025757	"Abnormal nail surface"	"5190"	"HP:0025757"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025766	"Abnormal affect"	"1116"	"HP:0025766"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0025767	"Abnormal positive emotional state"	"7305"	"HP:0025767"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0002900	"Hypokalemia"	"2556"	"HP:0002900"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0002901	"Hypocalcemia"	"8456"	"HP:0002901"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0002902	"Hyponatremia"	"29110"	"HP:0002902"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0003355	"Aminoaciduria"	"3242"	"HP:0003355"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0002904	"Hyperbilirubinemia"	"5277"	"HP:0002904"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0002905	"Hyperphosphatemia"	"4514"	"HP:0002905"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
HP:0003236	"Elevated circulating creatine kinase concentration"	"4514"	"HP:0003236"	"id"	"BiologicalEntity|DiseaseOrPhenotypicFeature|Entity|NamedThing|PhenotypicFeature"
