R-HSA-164843	"2-LTR Circle Formation"	"R-HSA-164843"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-1971475	"GAG Synthesis Requires Tetrasaccharide Linker Sequence"	"R-HSA-1971475"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-5619084	"ABC Transporter Disorders"	"R-HSA-5619084"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-1369062	"ABC Transporters In Lipid Homeostasis"	"R-HSA-1369062"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-382556	"ABC-family Proteins Mediated Transport"	"R-HSA-382556"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-9660821	"ADORA2B Mediated Anti-Inflammatory Cytokine Production"	"R-HSA-9660821"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-418592	"ADP Signaling Thru P2Y Purinoceptor 1"	"R-HSA-418592"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-392170	"ADP Signaling Thru P2Y Purinoceptor 12"	"R-HSA-392170"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-198323	"AKT Phosphorylates Targets In Cytosol"	"R-HSA-198323"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-198693	"AKT Phosphorylates Targets In Nucleus"	"R-HSA-198693"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-9700645	"ALK Mutants Bind TKIs"	"R-HSA-9700645"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-163680	"AMPK Inhibits chREBP Transcriptional Activity"	"R-HSA-163680"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-5467337	"APC Truncation Mutants Have Impaired AXIN Binding"	"R-HSA-5467337"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-179409	"APC-Cdc20 Mediated Degradation Of Nek2A"	"R-HSA-179409"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-174143	"APC/C-mediated Degradation Of Cell Cycle Proteins"	"R-HSA-174143"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-174048	"APC/C:Cdc20 Mediated Degradation Of Cyclin B"	"R-HSA-174048"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-174154	"APC/C:Cdc20 Mediated Degradation Of Securin"	"R-HSA-174154"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-176409	"APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins"	"R-HSA-176409"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-174178	"APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1"	"R-HSA-174178"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-179419	"APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied"	"R-HSA-179419"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-5649702	"APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway"	"R-HSA-5649702"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-180689	"APOBEC3G Mediated Resistance To HIV-1"	"R-HSA-180689"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-170984	"ARMS-mediated Activation"	"R-HSA-170984"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-380994	"ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress"	"R-HSA-380994"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-381183	"ATF6 (ATF6-alpha) Activates Chaperone Genes"	"R-HSA-381183"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-381033	"ATF6 (ATF6-alpha) Activates Chaperones"	"R-HSA-381033"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-450408	"AUF1 (hnRNP D0) Binds And Destabilizes mRNA"	"R-HSA-450408"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-8854518	"AURKA Activation By TPX2"	"R-HSA-8854518"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-2161522	"Abacavir ADME"	"R-HSA-2161522"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-2161541	"Abacavir Metabolism"	"R-HSA-2161541"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-2161517	"Abacavir Transmembrane Transport"	"R-HSA-2161517"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-9659787	"Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects"	"R-HSA-9659787"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
R-HSA-9687139	"Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects"	"R-HSA-9687139"	"reactome/wiki_pathway"	"BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|Pathway"
